Dwelling Type;Climate Zone;Construction Period;Size Factor;Heating System;Initial Age;Headcount
CID;H1;1;M;ER;0;6594
CID;H1;1;M;ER;1;6594
CID;H1;1;M;ER;2;6594
CID;H1;1;M;ER;3;6594
CID;H1;1;M;ER;4;6594
CID;H1;1;M;ER;5;6594
CID;H1;1;M;ER;6;6594
CID;H1;1;M;ER;7;6594
CID;H1;1;M;ER;8;6594
CID;H1;1;M;ER;9;6594
CID;H1;1;M;ER;10;19781
CID;H1;1;M;ER;11;19781
CID;H1;1;M;ER;12;19781
CID;H1;1;M;ER;13;19781
CID;H1;1;M;ER;14;19781
CID;H1;1;M;ER;15;19781
CID;H1;1;M;ER;16;19781
CID;H1;1;M;ER;17;19781
CID;H1;1;M;ER;18;19781
CID;H1;1;M;ER;19;19781
CID;H1;1;M;GB;0;5481
CID;H1;1;M;GB;1;5481
CID;H1;1;M;GB;2;5481
CID;H1;1;M;GB;3;5481
CID;H1;1;M;GB;4;5481
CID;H1;1;M;GB;5;8222
CID;H1;1;M;GB;6;8222
CID;H1;1;M;GB;7;8222
CID;H1;1;M;GB;8;8222
CID;H1;1;M;GB;9;8222
CID;H1;1;M;GB;10;20554
CID;H1;1;M;GB;11;20554
CID;H1;1;M;GB;12;20554
CID;H1;1;M;GB;13;20554
CID;H1;1;M;GB;14;20554
CID;H1;1;M;GB;15;20554
CID;H1;1;M;GB;16;20554
CID;H1;1;M;GB;17;20554
CID;H1;1;M;GB;18;20554
CID;H1;1;M;GB;19;20554
CID;H1;1;M;CGB;0;6851
CID;H1;1;M;CGB;1;6851
CID;H1;1;M;CGB;2;6851
CID;H1;1;M;CGB;3;6851
CID;H1;1;M;CGB;4;6851
CID;H1;1;M;CGB;5;4796
CID;H1;1;M;CGB;6;4796
CID;H1;1;M;CGB;7;4796
CID;H1;1;M;CGB;8;4796
CID;H1;1;M;CGB;9;4796
CID;H1;1;M;CGB;10;2055
CID;H1;1;M;CGB;11;2055
CID;H1;1;M;CGB;12;2055
CID;H1;1;M;CGB;13;2055
CID;H1;1;M;CGB;14;2055
CID;H1;1;M;CGB;15;0
CID;H1;1;M;CGB;16;0
CID;H1;1;M;CGB;17;0
CID;H1;1;M;CGB;18;0
CID;H1;1;M;CGB;19;0
CID;H1;1;M;OB;0;38
CID;H1;1;M;OB;1;38
CID;H1;1;M;OB;2;38
CID;H1;1;M;OB;3;38
CID;H1;1;M;OB;4;38
CID;H1;1;M;OB;5;95
CID;H1;1;M;OB;6;95
CID;H1;1;M;OB;7;95
CID;H1;1;M;OB;8;95
CID;H1;1;M;OB;9;95
CID;H1;1;M;OB;10;248
CID;H1;1;M;OB;11;248
CID;H1;1;M;OB;12;248
CID;H1;1;M;OB;13;248
CID;H1;1;M;OB;14;248
CID;H1;1;M;OB;15;381
CID;H1;1;M;OB;16;381
CID;H1;1;M;OB;17;381
CID;H1;1;M;OB;18;381
CID;H1;1;M;OB;19;381
CID;H1;1;M;COB;0;95
CID;H1;1;M;COB;1;95
CID;H1;1;M;COB;2;95
CID;H1;1;M;COB;3;95
CID;H1;1;M;COB;4;95
CID;H1;1;M;COB;5;67
CID;H1;1;M;COB;6;67
CID;H1;1;M;COB;7;67
CID;H1;1;M;COB;8;67
CID;H1;1;M;COB;9;67
CID;H1;1;M;COB;10;29
CID;H1;1;M;COB;11;29
CID;H1;1;M;COB;12;29
CID;H1;1;M;COB;13;29
CID;H1;1;M;COB;14;29
CID;H1;1;M;COB;15;0
CID;H1;1;M;COB;16;0
CID;H1;1;M;COB;17;0
CID;H1;1;M;COB;18;0
CID;H1;1;M;COB;19;0
CID;H1;1;M;EHP2;0;19
CID;H1;1;M;EHP2;1;19
CID;H1;1;M;EHP2;2;19
CID;H1;1;M;EHP2;3;19
CID;H1;1;M;EHP2;4;19
CID;H1;1;M;EHP2;5;23
CID;H1;1;M;EHP2;6;23
CID;H1;1;M;EHP2;7;23
CID;H1;1;M;EHP2;8;23
CID;H1;1;M;EHP2;9;23
CID;H1;1;M;EHP2;10;21
CID;H1;1;M;EHP2;11;21
CID;H1;1;M;EHP2;12;21
CID;H1;1;M;EHP2;13;21
CID;H1;1;M;EHP2;14;21
CID;H1;1;M;EHP2;15;21
CID;H1;1;M;EHP2;16;21
CID;H1;1;M;EHP2;17;21
CID;H1;1;M;EHP2;18;21
CID;H1;1;M;EHP2;19;21
CID;H1;1;M;WB;0;0
CID;H1;1;M;WB;1;0
CID;H1;1;M;WB;2;0
CID;H1;1;M;WB;3;0
CID;H1;1;M;WB;4;0
CID;H1;1;M;WB;5;0
CID;H1;1;M;WB;6;0
CID;H1;1;M;WB;7;0
CID;H1;1;M;WB;8;0
CID;H1;1;M;WB;9;0
CID;H1;1;M;WB;10;0
CID;H1;1;M;WB;11;0
CID;H1;1;M;WB;12;0
CID;H1;1;M;WB;13;0
CID;H1;1;M;WB;14;0
CID;H1;1;M;WB;15;0
CID;H1;1;M;WB;16;0
CID;H1;1;M;WB;17;0
CID;H1;1;M;WB;18;0
CID;H1;1;M;WB;19;0
CID;H1;1;M;WPB;0;0
CID;H1;1;M;WPB;1;0
CID;H1;1;M;WPB;2;0
CID;H1;1;M;WPB;3;0
CID;H1;1;M;WPB;4;0
CID;H1;1;M;WPB;5;0
CID;H1;1;M;WPB;6;0
CID;H1;1;M;WPB;7;0
CID;H1;1;M;WPB;8;0
CID;H1;1;M;WPB;9;0
CID;H1;1;M;WPB;10;0
CID;H1;1;M;WPB;11;0
CID;H1;1;M;WPB;12;0
CID;H1;1;M;WPB;13;0
CID;H1;1;M;WPB;14;0
CID;H1;1;M;WPB;15;0
CID;H1;1;M;WPB;16;0
CID;H1;1;M;WPB;17;0
CID;H1;1;M;WPB;18;0
CID;H1;1;M;WPB;19;0
