Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation
ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03
GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02
CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02
OB;0.83;3679.5;0.05;110;0.000270851;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02
COB;0.95;4460.0;0.07;150;0.000270851;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02
EHP2;2.6;10904.24;0.1;170;0.00018;0.159;0;0;3000;0.159;0.03
WB;0.8;690000.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01
WPB;0.95;700000.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01
EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03
GB;0.83;2943.6000000000004;0.072;80;0.000205847;0.0639;0;600;0;0.0639;0.02
CGB;0.96;3568.0;0.08000000000000002;100;0.000205847;0.0639;400;1200;0;0.0639;0.02
OB;0.83;2943.6000000000004;0.072;70;0.000270851;0.0808;0;1300;0;0.0808;0.02
COB;0.95;3568.0;0.08000000000000002;100;0.000270851;0.0808;0;2000;0;0.0808;0.02
EHP2;2.0;1000000.0;0.001;70;0.0;0.159;0;0;0;0.159;0.03
WB;0.78;1000000.0;0.001;90;0.0;0.056178947368421064;600;600;0;0.056178947368421064;0.01
WPB;0.95;6415.0;0.04000000000000001;90;0.0;0.056178947368421064;500;2500;0;0.056178947368421064;0.01
EHP;1.85;1000000.0;0.001;70;0.0;0.159;1000;1000;0;0.159;0.03
ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03
GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.1393;0.02
CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.1393;0.02
OB;0.83;3679.5;0.05;110;0.000270851;0.08810000000000001;0;1300;3000;0.08810000000000001;0.02
COB;0.95;4460.0;0.07;150;0.000270851;0.08810000000000001;0;2000;3000;0.08810000000000001;0.02
EHP2;2.6;10904.24;0.1;170;0.00018;0.159;200;2200;3000;0.159;0.03
WB;0.8;4500.0;0.08;150;6.3e-05;0.08425;600;600;3000;0.08425;0.01
WPB;0.95;9575.0;0.1;150;0.0;0.0572;500;2500;3000;0.0572;0.01
EHP;1.85;5600.0;0.2;170;0.00018;0.159;1000;1000;3000;0.159;0.03
