Dwelling Type;Climate Type;Degrees of Reference;Construction Period;Size Factor;Surface;Ceiling Height;Share of Windows;Dwelling per Floor;Floors;Intermittence;__init__ial Age;Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation;Carbon Price;Discount Rate;Inflation Rate;Insulation Limit;Headcount
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;0;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;5855
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;1;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;5855
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;2;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;5855
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;5855
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;4;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;5855
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;5;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;6;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;7;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;8;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;9;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;10;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;11;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;12;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;13;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;14;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;7318
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;15;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;8782
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;16;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;8782
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;17;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;8782
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;18;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;8782
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;19;GB;0.83;2943.600000000001;0.07200000000000001;80;0.000205847;0.0639;0;600;0;0.0639;0.02;25;0.05;0;500000;8782
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;0;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;6216
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;1;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;6216
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;2;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;6216
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;6216
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;4;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;6216
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;5;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;4351
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;6;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;4351
CCD;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;7;CGB;0.96;3568.0;0.08000000000000003;100;0.000205847;0.0639;400;1200;0;0.0639;0.02;25;0.05;0;500000;4351
