Dwelling Type;Climate Type;Degrees of Reference;Construction Period;Size Factor;Surface;Ceiling Height;Share of Windows;Dwelling per Floor;Floors;Intermittence;__init__ial Age;Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation;Carbon Price;Discount Rate;Inflation Rate;Insulation Limit;Headcount
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;0;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;1;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;2;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;4;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;5;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;6;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;7;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;8;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;9;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;6594
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;10;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;11;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;12;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;13;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;14;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;15;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;16;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;17;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;18;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;19;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;19781
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;0;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;5481
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;1;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;5481
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;2;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;5481
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;5481
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;4;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;5481
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;5;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;8222
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;6;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;8222
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;7;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;8222
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;8;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;8222
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;9;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;8222
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;10;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;11;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;12;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;13;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;14;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;15;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;16;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;17;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;18;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;19;GB;0.83;3679.5;0.09;120;0.000205847;0.0731;0;600;3000;0.0731;0.02;25;0.05;0;500000;20554
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;0;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;6851
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;1;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;6851
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;2;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;6851
CID;H1;59488;<1948;Middle;60.5;2.98;0.28;2;5;1.0;3;CGB;0.95;4460.0;0.1;150;0.000205847;0.0731;400;1200;3000;0.0731;0.02;25;0.05;0;500000;6851
