Dwelling Type;Climate Type;Degrees of Reference;Construction Period;Size Factor;Surface;Ceiling Height;Share of Windows;Dwelling per Floor;Floors;Intermittence;__init__ial Age;Heating System;Efficiency;A Investment;B Investment;Maintenance Cost;Emission Factor;Energy Price;Same Switch Cost;Different Switch Cost;Delevery Type Cost;Specific Gas Price;Annual Variation;Carbon Price;Discount Rate;Inflation Rate;Insulation Limit;Headcount
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;0;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;1;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;2;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;3;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;4;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;5;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;6;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;7;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;8;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
ID;H1;59488;<1968;Middle;107.5;2.5;0.3;1;1;0.85;9;ER;0.98;620.0;0.15;0;0.00018;0.159;0;0;3000;0.159;0.03;25;0.05;0;500000;5089
